                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1733,                 1.3755,                 1.3373,                 0.5967,                0.42085,                0.44089,                0.23371,                 1.6525,                 2.2586,                  2.036,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1168,                 1.2905,                 1.2881,                0.78875,                0.37201,                0.42835,                0.24279,                 1.6618,                 2.4398,                 2.0413,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1119,                 1.2597,                 1.2855,                0.50973,                0.43078,                 0.4234,                0.24315,                  1.724,                 2.4598,                 2.0016,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0494,                 1.2805,                 1.2582,                0.38281,                 0.5143,                0.43791,                0.24219,                 1.7852,                 2.2649,                 2.0246,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0964,                 1.2369,                 1.2752,                0.62701,                 0.3833,                0.45566,                0.26417,                 1.7334,                 2.2296,                 1.9818,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.0561,                 1.2094,                 1.2243,                0.49173,                0.48799,                0.48507,                0.27828,                 1.7241,                  2.092,                 2.0112,             0.00044576,             0.00044576,             0.00044576
                     40,                  1.056,                 1.2043,                 1.2255,                0.65197,                0.48919,                0.50361,                0.28444,                 1.7477,                 1.9591,                 2.0407,             0.00041275,             0.00041275,             0.00041275
                     41,                0.97999,                 1.3304,                 1.1982,                0.59805,                0.52288,                0.48306,                0.28554,                 1.6733,                 2.1015,                 1.9369,             0.00037974,             0.00037974,             0.00037974
                     42,                0.93924,                  1.209,                 1.1693,                 0.5155,                0.47388,                0.43918,                0.29193,                 1.6226,                 2.3705,                  1.895,             0.00034674,             0.00034674,             0.00034674
                     43,                0.91854,                 1.1801,                 1.1648,                0.69067,                0.45123,                0.49133,                0.30469,                 1.5384,                 2.2594,                 1.8315,             0.00031373,             0.00031373,             0.00031373
                     44,                0.93329,                  1.178,                 1.1517,                0.46147,                0.47283,                0.43929,                0.28567,                 1.6148,                 2.2231,                 1.8586,             0.00028072,             0.00028072,             0.00028072
                     45,                0.92981,                 1.1643,                 1.1988,                0.50529,                0.47082,                0.45322,                0.30119,                 1.5719,                 2.1603,                 1.8556,             0.00024772,             0.00024772,             0.00024772
                     46,                0.86789,                 1.0768,                 1.1301,                0.46116,                0.55778,                0.49456,                0.32616,                  1.541,                 1.9836,                 1.8473,             0.00021471,             0.00021471,             0.00021471
                     47,                0.88434,                 1.0794,                 1.1651,                0.49482,                0.56636,                0.49557,                 0.3334,                 1.5411,                 1.9512,                 1.8545,              0.0001817,              0.0001817,              0.0001817
                     48,                0.86158,                 1.0277,                 1.1006,                0.54894,                0.52288,                 0.4963,                0.33505,                 1.5263,                 1.9257,                 1.8476,              0.0001487,              0.0001487,              0.0001487
                     49,                0.82631,                0.99715,                 1.1098,                0.58465,                0.51746,                0.50642,                 0.3403,                 1.5181,                 1.9322,                  1.822,             0.00011569,             0.00011569,             0.00011569
                     50,                0.79578,                0.97186,                  1.091,                0.54968,                 0.5143,                0.50404,                0.34443,                 1.5471,                  1.932,                 1.8177,             8.2683e-05,             8.2683e-05,             8.2683e-05
